Unnamed: 0,ligand_name,protein_name,Chemgauss4,error_message,exp_id
0,mol_2024_07_09_1757030_000.sdf,Mpro-protein.pdb,,File error: Invalid input file Mpro-x0072_0_DU_0_receptor_mol_2024_07_09_1757030_000_docked.sdf,exp_22
mol_2024_07_09_1809100_000.sdf,Mpro-protein.pdb,,File error: Invalid input file Mpro-x0072_0_DU_0_receptor_mol_2024_07_09_1809100_000_docked.sdf,,exp_22
mol_2024_07_09_1749012_000.sdf,Mpro-protein.pdb,,File error: Invalid input file Mpro-x0072_0_DU_0_receptor_mol_2024_07_09_1749012_000_docked.sdf,,exp_22
mol_2024_07_09_1752491_000.sdf,Mpro-protein.pdb,,File error: Invalid input file Mpro-x0072_0_DU_0_receptor_mol_2024_07_09_1752491_000_docked.sdf,,exp_22
mol_2024_07_09_1757533_000.sdf,Mpro-protein.pdb,,File error: Invalid input file Mpro-x0072_0_DU_0_receptor_mol_2024_07_09_1757533_000_docked.sdf,,exp_22
mol_2024_07_09_1808211_000.sdf,Mpro-protein.pdb,,File error: Invalid input file Mpro-x0072_0_DU_0_receptor_mol_2024_07_09_1808211_000_docked.sdf,,exp_22
mol_2024_07_09_1759320_000.sdf,Mpro-protein.pdb,,File error: Invalid input file Mpro-x0072_0_DU_0_receptor_mol_2024_07_09_1759320_000_docked.sdf,,exp_22
mol_2024_07_09_1808523_000.sdf,Mpro-protein.pdb,,File error: Invalid input file Mpro-x0072_0_DU_0_receptor_mol_2024_07_09_1808523_000_docked.sdf,,exp_22
mol_2024_07_09_1752532_000.sdf,Mpro-protein.pdb,,File error: Invalid input file Mpro-x0072_0_DU_0_receptor_mol_2024_07_09_1752532_000_docked.sdf,,exp_22
mol_2024_07_09_1805293_000.sdf,Mpro-protein.pdb,,File error: Invalid input file Mpro-x0072_0_DU_0_receptor_mol_2024_07_09_1805293_000_docked.sdf,,exp_22
mol_2024_07_09_1813141_000.sdf,Mpro-protein.pdb,,File error: Invalid input file Mpro-x0072_0_DU_0_receptor_mol_2024_07_09_1813141_000_docked.sdf,,exp_22
mol_2024_07_09_1754343_000.sdf,Mpro-protein.pdb,,File error: Invalid input file Mpro-x0072_0_DU_0_receptor_mol_2024_07_09_1754343_000_docked.sdf,,exp_22
mol_2024_07_09_1803473_000.sdf,Mpro-protein.pdb,,File error: Invalid input file Mpro-x0072_0_DU_0_receptor_mol_2024_07_09_1803473_000_docked.sdf,,exp_22
mol_2024_07_09_1802573_000.sdf,Mpro-protein.pdb,,File error: Invalid input file Mpro-x0072_0_DU_0_receptor_mol_2024_07_09_1802573_000_docked.sdf,,exp_22
mol_2024_07_09_1758420_000.sdf,Mpro-protein.pdb,,File error: Invalid input file Mpro-x0072_0_DU_0_receptor_mol_2024_07_09_1758420_000_docked.sdf,,exp_22
mol_2024_07_09_1750133_000.sdf,Mpro-protein.pdb,,File error: Invalid input file Mpro-x0072_0_DU_0_receptor_mol_2024_07_09_1750133_000_docked.sdf,,exp_22
mol_2024_07_09_1756153_000.sdf,Mpro-protein.pdb,,File error: Invalid input file Mpro-x0072_0_DU_0_receptor_mol_2024_07_09_1756153_000_docked.sdf,,exp_22
mol_2024_07_09_1807231_000.sdf,Mpro-protein.pdb,,File error: Invalid input file Mpro-x0072_0_DU_0_receptor_mol_2024_07_09_1807231_000_docked.sdf,,exp_22
mol_2024_07_09_1756160_000.sdf,Mpro-protein.pdb,,File error: Invalid input file Mpro-x0072_0_DU_0_receptor_mol_2024_07_09_1756160_000_docked.sdf,,exp_22
mol_2024_07_09_1813412_000.sdf,Mpro-protein.pdb,,File error: Invalid input file Mpro-x0072_0_DU_0_receptor_mol_2024_07_09_1813412_000_docked.sdf,,exp_22
mol_2024_07_09_1804242_000.sdf,Mpro-protein.pdb,,File error: Invalid input file Mpro-x0072_0_DU_0_receptor_mol_2024_07_09_1804242_000_docked.sdf,,exp_22
mol_2024_07_09_1808492_000.sdf,Mpro-protein.pdb,,File error: Invalid input file Mpro-x0072_0_DU_0_receptor_mol_2024_07_09_1808492_000_docked.sdf,,exp_22
mol_2024_07_09_1753461_000.sdf,Mpro-protein.pdb,,File error: Invalid input file Mpro-x0072_0_DU_0_receptor_mol_2024_07_09_1753461_000_docked.sdf,,exp_22
mol_2024_07_09_1755411_000.sdf,Mpro-protein.pdb,,File error: Invalid input file Mpro-x0072_0_DU_0_receptor_mol_2024_07_09_1755411_000_docked.sdf,,exp_22
mol_2024_07_09_1757371_000.sdf,Mpro-protein.pdb,,File error: Invalid input file Mpro-x0072_0_DU_0_receptor_mol_2024_07_09_1757371_000_docked.sdf,,exp_22
mol_2024_07_09_1804271_000.sdf,Mpro-protein.pdb,,File error: Invalid input file Mpro-x0072_0_DU_0_receptor_mol_2024_07_09_1804271_000_docked.sdf,,exp_22
mol_2024_07_09_1749581_000.sdf,Mpro-protein.pdb,,File error: Invalid input file Mpro-x0072_0_DU_0_receptor_mol_2024_07_09_1749581_000_docked.sdf,,exp_22
mol_2024_07_09_1758351_000.sdf,Mpro-protein.pdb,,File error: Invalid input file Mpro-x0072_0_DU_0_receptor_mol_2024_07_09_1758351_000_docked.sdf,,exp_22
mol_2024_07_09_1807320_000.sdf,Mpro-protein.pdb,,File error: Invalid input file Mpro-x0072_0_DU_0_receptor_mol_2024_07_09_1807320_000_docked.sdf,,exp_22
mol_2024_07_09_1812123_000.sdf,Mpro-protein.pdb,,File error: Invalid input file Mpro-x0072_0_DU_0_receptor_mol_2024_07_09_1812123_000_docked.sdf,,exp_22
mol_2024_07_09_1813023_000.sdf,Mpro-protein.pdb,,File error: Invalid input file Mpro-x0072_0_DU_0_receptor_mol_2024_07_09_1813023_000_docked.sdf,,exp_22
mol_2024_07_09_1805570_000.sdf,Mpro-protein.pdb,,File error: Invalid input file Mpro-x0072_0_DU_0_receptor_mol_2024_07_09_1805570_000_docked.sdf,,exp_22
mol_2024_07_09_1748550_000.sdf,Mpro-protein.pdb,,File error: Invalid input file Mpro-x0072_0_DU_0_receptor_mol_2024_07_09_1748550_000_docked.sdf,,exp_22
mol_2024_07_09_1751240_000.sdf,Mpro-protein.pdb,,File error: Invalid input file Mpro-x0072_0_DU_0_receptor_mol_2024_07_09_1751240_000_docked.sdf,,exp_22
mol_2024_07_09_1810303_000.sdf,Mpro-protein.pdb,,File error: Invalid input file Mpro-x0072_0_DU_0_receptor_mol_2024_07_09_1810303_000_docked.sdf,,exp_22
mol_2024_07_09_1803291_000.sdf,Mpro-protein.pdb,,File error: Invalid input file Mpro-x0072_0_DU_0_receptor_mol_2024_07_09_1803291_000_docked.sdf,,exp_22
mol_2024_07_09_1750350_000.sdf,Mpro-protein.pdb,,File error: Invalid input file Mpro-x0072_0_DU_0_receptor_mol_2024_07_09_1750350_000_docked.sdf,,exp_22
mol_2024_07_09_1749123_000.sdf,Mpro-protein.pdb,,File error: Invalid input file Mpro-x0072_0_DU_0_receptor_mol_2024_07_09_1749123_000_docked.sdf,,exp_22
mol_2024_07_09_1748060_000.sdf,Mpro-protein.pdb,,File error: Invalid input file Mpro-x0072_0_DU_0_receptor_mol_2024_07_09_1748060_000_docked.sdf,,exp_22
mol_2024_07_09_1752553_000.sdf,Mpro-protein.pdb,,File error: Invalid input file Mpro-x0072_0_DU_0_receptor_mol_2024_07_09_1752553_000_docked.sdf,,exp_22
mol_2024_07_09_1752053_000.sdf,Mpro-protein.pdb,,File error: Invalid input file Mpro-x0072_0_DU_0_receptor_mol_2024_07_09_1752053_000_docked.sdf,,exp_22
mol_2024_07_09_1814060_000.sdf,Mpro-protein.pdb,,File error: Invalid input file Mpro-x0072_0_DU_0_receptor_mol_2024_07_09_1814060_000_docked.sdf,,exp_22
mol_2024_07_09_1808220_000.sdf,Mpro-protein.pdb,,File error: Invalid input file Mpro-x0072_0_DU_0_receptor_mol_2024_07_09_1808220_000_docked.sdf,,exp_22
mol_2024_07_09_1802470_000.sdf,Mpro-protein.pdb,,File error: Invalid input file Mpro-x0072_0_DU_0_receptor_mol_2024_07_09_1802470_000_docked.sdf,,exp_22
mol_2024_07_09_1751103_000.sdf,Mpro-protein.pdb,,File error: Invalid input file Mpro-x0072_0_DU_0_receptor_mol_2024_07_09_1751103_000_docked.sdf,,exp_22
mol_2024_07_09_1748153_000.sdf,Mpro-protein.pdb,,File error: Invalid input file Mpro-x0072_0_DU_0_receptor_mol_2024_07_09_1748153_000_docked.sdf,,exp_22
mol_2024_07_09_1806342_000.sdf,Mpro-protein.pdb,,File error: Invalid input file Mpro-x0072_0_DU_0_receptor_mol_2024_07_09_1806342_000_docked.sdf,,exp_22
mol_2024_07_09_1754431_000.sdf,Mpro-protein.pdb,,File error: Invalid input file Mpro-x0072_0_DU_0_receptor_mol_2024_07_09_1754431_000_docked.sdf,,exp_22
mol_2024_07_09_1811203_000.sdf,Mpro-protein.pdb,,File error: Invalid input file Mpro-x0072_0_DU_0_receptor_mol_2024_07_09_1811203_000_docked.sdf,,exp_22
mol_2024_07_09_1750551_000.sdf,Mpro-protein.pdb,,File error: Invalid input file Mpro-x0072_0_DU_0_receptor_mol_2024_07_09_1750551_000_docked.sdf,,exp_22
mol_2024_07_09_1801542_000.sdf,Mpro-protein.pdb,,File error: Invalid input file Mpro-x0072_0_DU_0_receptor_mol_2024_07_09_1801542_000_docked.sdf,,exp_22
mol_2024_07_09_1755270_000.sdf,Mpro-protein.pdb,,File error: Invalid input file Mpro-x0072_0_DU_0_receptor_mol_2024_07_09_1755270_000_docked.sdf,,exp_22
mol_2024_07_09_1806440_000.sdf,Mpro-protein.pdb,,File error: Invalid input file Mpro-x0072_0_DU_0_receptor_mol_2024_07_09_1806440_000_docked.sdf,,exp_22
mol_2024_07_09_1752120_000.sdf,Mpro-protein.pdb,,File error: Invalid input file Mpro-x0072_0_DU_0_receptor_mol_2024_07_09_1752120_000_docked.sdf,,exp_22
mol_2024_07_09_1757033_000.sdf,Mpro-protein.pdb,,File error: Invalid input file Mpro-x0072_0_DU_0_receptor_mol_2024_07_09_1757033_000_docked.sdf,,exp_22
mol_2024_07_09_1753000_000.sdf,Mpro-protein.pdb,,File error: Invalid input file Mpro-x0072_0_DU_0_receptor_mol_2024_07_09_1753000_000_docked.sdf,,exp_22
mol_2024_07_09_1806251_000.sdf,Mpro-protein.pdb,,File error: Invalid input file Mpro-x0072_0_DU_0_receptor_mol_2024_07_09_1806251_000_docked.sdf,,exp_22
mol_2024_07_09_1755233_000.sdf,Mpro-protein.pdb,,File error: Invalid input file Mpro-x0072_0_DU_0_receptor_mol_2024_07_09_1755233_000_docked.sdf,,exp_22
mol_2024_07_09_1759341_000.sdf,Mpro-protein.pdb,,File error: Invalid input file Mpro-x0072_0_DU_0_receptor_mol_2024_07_09_1759341_000_docked.sdf,,exp_22
mol_2024_07_09_1748081_000.sdf,Mpro-protein.pdb,,File error: Invalid input file Mpro-x0072_0_DU_0_receptor_mol_2024_07_09_1748081_000_docked.sdf,,exp_22
mol_2024_07_09_1810490_000.sdf,Mpro-protein.pdb,,File error: Invalid input file Mpro-x0072_0_DU_0_receptor_mol_2024_07_09_1810490_000_docked.sdf,,exp_22
mol_2024_07_09_1757530_000.sdf,Mpro-protein.pdb,,File error: Invalid input file Mpro-x0072_0_DU_0_receptor_mol_2024_07_09_1757530_000_docked.sdf,,exp_22
mol_2024_07_09_1755142_000.sdf,Mpro-protein.pdb,,File error: Invalid input file Mpro-x0072_0_DU_0_receptor_mol_2024_07_09_1755142_000_docked.sdf,,exp_22
mol_2024_07_09_1801590_000.sdf,Mpro-protein.pdb,,File error: Invalid input file Mpro-x0072_0_DU_0_receptor_mol_2024_07_09_1801590_000_docked.sdf,,exp_22
mol_2024_07_09_1811181_000.sdf,Mpro-protein.pdb,,File error: Invalid input file Mpro-x0072_0_DU_0_receptor_mol_2024_07_09_1811181_000_docked.sdf,,exp_22
mol_2024_07_09_1801133_000.sdf,Mpro-protein.pdb,,File error: Invalid input file Mpro-x0072_0_DU_0_receptor_mol_2024_07_09_1801133_000_docked.sdf,,exp_22
mol_2024_07_09_1813160_000.sdf,Mpro-protein.pdb,,File error: Invalid input file Mpro-x0072_0_DU_0_receptor_mol_2024_07_09_1813160_000_docked.sdf,,exp_22
mol_2024_07_09_1805090_000.sdf,Mpro-protein.pdb,,File error: Invalid input file Mpro-x0072_0_DU_0_receptor_mol_2024_07_09_1805090_000_docked.sdf,,exp_22
mol_2024_07_09_1753500_000.sdf,Mpro-protein.pdb,,File error: Invalid input file Mpro-x0072_0_DU_0_receptor_mol_2024_07_09_1753500_000_docked.sdf,,exp_22
mol_2024_07_09_1759353_000.sdf,Mpro-protein.pdb,,File error: Invalid input file Mpro-x0072_0_DU_0_receptor_mol_2024_07_09_1759353_000_docked.sdf,,exp_22
mol_2024_07_09_1749450_000.sdf,Mpro-protein.pdb,,File error: Invalid input file Mpro-x0072_0_DU_0_receptor_mol_2024_07_09_1749450_000_docked.sdf,,exp_22
